timestamp,unix_time,cpu_load,ram_usage,ambient_temp,cpu_temp
2026-01-31 16:58:48,1769858928,32.7,24.7,23.65,58.0
2026-01-31 16:58:50,1769858930,27.1,24.7,23.68,58.12
2026-01-31 16:58:51,1769858931,21.0,24.7,23.71,58.75
2026-01-31 16:58:53,1769858933,37.3,24.7,23.74,59.0
2026-01-31 16:58:54,1769858934,11.1,24.8,23.77,59.0
2026-01-31 16:58:56,1769858936,48.7,24.8,23.8,60.0
2026-01-31 16:58:58,1769858938,2.0,24.8,23.83,58.75
2026-01-31 16:58:59,1769858939,50.9,24.8,23.86,60.0
2026-01-31 16:59:01,1769858941,2.7,24.8,23.89,59.12
2026-01-31 16:59:02,1769858942,43.9,24.8,23.92,59.88
2026-01-31 16:59:04,1769858944,15.5,24.8,23.95,59.5
2026-01-31 16:59:05,1769858945,33.0,24.8,23.98,60.25
2026-01-31 16:59:07,1769858947,24.9,24.8,24.01,60.0
2026-01-31 16:59:08,1769858948,22.5,24.9,24.04,60.25
2026-01-31 16:59:10,1769858950,50.6,24.9,24.08,61.25
2026-01-31 16:59:11,1769858951,1.7,24.9,24.11,60.25
2026-01-31 16:59:13,1769858953,50.8,25.0,24.14,61.38
2026-01-31 16:59:14,1769858954,1.8,25.0,24.17,60.62
2026-01-31 16:59:16,1769858956,51.2,25.0,24.2,61.62
2026-01-31 16:59:18,1769858958,2.0,25.0,24.23,60.62
2026-01-31 16:59:19,1769858959,49.8,25.0,24.26,61.5
2026-01-31 16:59:21,1769858961,9.7,24.9,24.29,60.75
2026-01-31 16:59:22,1769858962,38.6,24.9,24.32,61.62
2026-01-31 16:59:24,1769858964,20.5,24.9,24.35,61.62
2026-01-31 16:59:25,1769858965,13.5,24.9,24.38,61.38
2026-01-31 16:59:27,1769858967,50.7,24.8,24.42,62.12
2026-01-31 16:59:29,1769858969,3.3,24.8,24.45,61.12
2026-01-31 16:59:30,1769858970,51.2,24.8,24.48,62.12
2026-01-31 16:59:32,1769858972,1.3,24.8,24.51,61.12
2026-01-31 16:59:33,1769858973,48.2,24.8,24.54,62.0
2026-01-31 16:59:35,1769858975,10.2,24.8,24.57,61.12
2026-01-31 16:59:36,1769858976,36.5,24.8,24.59,62.0
2026-01-31 16:59:38,1769858978,23.0,24.8,24.62,61.62
2026-01-31 16:59:39,1769858979,24.7,24.8,24.65,62.0
2026-01-31 16:59:41,1769858981,47.3,24.9,24.68,62.5
2026-01-31 16:59:42,1769858982,3.0,24.9,24.71,62.12
2026-01-31 16:59:44,1769858984,51.7,24.8,24.74,63.0
2026-01-31 16:59:46,1769858986,1.7,24.8,24.77,61.88
2026-01-31 16:59:47,1769858987,48.6,24.7,24.8,62.88
2026-01-31 16:59:49,1769858989,10.9,24.6,24.83,62.0
2026-01-31 16:59:50,1769858990,35.5,24.6,24.86,62.75
2026-01-31 16:59:52,1769858992,25.2,24.7,24.88,62.38
2026-01-31 16:59:53,1769858993,25.2,24.6,24.91,62.62
2026-01-31 16:59:55,1769858995,32.1,24.6,24.94,62.62
2026-01-31 16:59:56,1769858996,15.9,24.6,24.96,62.75
2026-01-31 16:59:58,1769858998,51.0,24.6,24.99,63.75
2026-01-31 17:00:00,1769859000,1.8,24.7,25.02,62.75
2026-01-31 17:00:01,1769859001,1.8,24.5,25.04,61.75
